Genotype,Year,Experiment,Phenotype
452098,2015,1,2.285714286
452099,2015,1,2.142857143
452100,2015,1,1.875
452102,2015,1,2.285714286
452103,2015,1,2.714285714
452104,2015,1,2.285714286
452105,2015,1,2.714285714
452106,2015,1,2.857142857
452107,2015,1,NA
453001,2015,1,3.125
453002,2015,1,2.285714286
453003,2015,1,2.166666667
453004,2015,1,2.125
453005,2015,1,NA
453007,2015,1,1.4
453008,2015,1,NA
453009,2015,1,2
453010,2015,1,3
453011,2015,1,2.571428571
453012,2015,1,NA
453013,2015,1,1.857142857
453014,2015,1,2.166666667
453015,2015,1,NA
453016,2015,1,NA
453017,2015,1,1.4
453018,2015,1,2
453020,2015,1,2.142857143
453022,2015,1,NA
453023,2015,1,2.25
453024,2015,1,1.428571429
453025,2015,1,NA
453026,2015,1,2.333333333
453027,2015,1,1.571428571
453028,2015,1,1.571428571
453029,2015,1,2.25
453030,2015,1,2.2
453031,2015,1,2.166666667
453032,2015,1,NA
453033,2015,1,NA
453034,2015,1,NA
453035,2015,1,NA
453037,2015,1,NA
453038,2015,1,1.5
453039,2015,1,2.75
453040,2015,1,2.5
453042,2015,1,NA
453043,2015,1,NA
453044,2015,1,2.875
453045,2015,1,NA
453046,2015,1,2
453047,2015,1,1.5
453048,2015,1,1.4
453049,2015,1,NA
453050,2015,1,2.142857143
453052,2015,1,1.833333333
453053,2015,1,NA
453054,2015,1,2.25
453056,2015,1,2.333333333
453057,2015,1,2
453058,2015,1,1.428571429
453059,2015,1,2.5
453060,2015,1,1.4
453061,2015,1,3.5
453062,2015,1,1.666666667
453063,2015,1,2.666666667
453064,2015,1,1.571428571
453065,2015,1,2.625
453067,2015,1,1.375
453068,2015,1,NA
453069,2015,1,2
453070,2015,1,NA
453071,2015,1,1.285714286
453072,2015,1,1.571428571
453073,2015,1,NA
453074,2015,1,NA
453075,2015,1,2.875
453076,2015,1,2.125
453077,2015,1,NA
453078,2015,1,2.833333333
453079,2015,1,1.333333333
453080,2015,1,1.5
453082,2015,1,NA
453083,2015,1,NA
453084,2015,1,2
453085,2015,1,NA
453086,2015,1,2
453087,2015,1,2.428571429
453088,2015,1,2.142857143
453089,2015,1,1.875
453090,2015,1,2.428571429
453091,2015,1,NA
453092,2015,1,1.285714286
453093,2015,1,1.714285714
453094,2015,1,1.857142857
453095,2015,1,NA
453097,2015,1,2.714285714
453098,2015,1,1.875
453099,2015,1,1.714285714
453100,2015,1,1.875
453106,2015,1,2.5
453107,2015,1,NA
453108,2015,1,1.714285714
453109,2015,1,2.875
453110,2015,1,3.142857143
454002,2015,1,3.375
454003,2015,1,2.2
454004,2015,1,4.285714286
454005,2015,1,2.285714286
454006,2015,1,2
454007,2015,1,2.875
454008,2015,1,3
454009,2015,1,3.142857143
454010,2015,1,2.571428571
454011,2015,1,2.166666667
454012,2015,1,2.75
454013,2015,1,2.714285714
454015,2015,1,1.75
454017,2015,1,3.142857143
454018,2015,1,1.666666667
454019,2015,1,2.25
454021,2015,1,1.571428571
454022,2015,1,1.857142857
454023,2015,1,1.428571429
454024,2015,1,1.25
454025,2015,1,1.5
454026,2015,1,NA
454027,2015,1,2.571428571
454028,2015,1,1.833333333
454029,2015,1,2.857142857
454030,2015,1,2.75
454032,2015,1,2.4
454033,2015,1,1.75
454034,2015,1,2.714285714
452001,2015,2,NA
452002,2015,2,2.142857143
452003,2015,2,2.714285714
452004,2015,2,NA
452005,2015,2,2.285714286
452006,2015,2,2.6
452007,2015,2,2.25
452008,2015,2,2.375
452009,2015,2,2.625
452010,2015,2,3.75
452012,2015,2,3.142857143
452013,2015,2,2.25
452014,2015,2,NA
452015,2015,2,3
452016,2015,2,3.5
452017,2015,2,3
452018,2015,2,2.142857143
452019,2015,2,NA
452020,2015,2,NA
452021,2015,2,2.25
452022,2015,2,2.5
452023,2015,2,NA
452024,2015,2,NA
452027,2015,2,3.125
452028,2015,2,1.875
452029,2015,2,NA
452030,2015,2,2.125
452031,2015,2,1.833333333
452032,2015,2,2.375
452033,2015,2,2.375
452034,2015,2,3.125
452035,2015,2,3.666666667
452036,2015,2,2.75
452037,2015,2,2.75
452038,2015,2,2.375
452039,2015,2,NA
452040,2015,2,2.375
452042,2015,2,3
452043,2015,2,3
452044,2015,2,2
452045,2015,2,NA
452046,2015,2,3
452047,2015,2,2.625
452048,2015,2,2.625
452049,2015,2,NA
452050,2015,2,2.125
452051,2015,2,2.25
452058,2015,2,NA
452059,2015,2,2.375
452060,2015,2,NA
452061,2015,2,4.75
452062,2015,2,2.285714286
452063,2015,2,2.375
452065,2015,2,2
452067,2015,2,2.25
452068,2015,2,2.625
452069,2015,2,2.25
452070,2015,2,NA
452072,2015,2,NA
452073,2015,2,NA
452074,2015,2,NA
452075,2015,2,1.875
452076,2015,2,2.285714286
452077,2015,2,1.833333333
452079,2015,2,NA
452080,2015,2,2
452081,2015,2,2.5
452082,2015,2,3.25
452083,2015,2,3.285714286
452084,2015,2,4.142857143
452085,2015,2,2.25
452087,2015,2,NA
452088,2015,2,NA
452089,2015,2,NA
452091,2015,2,2.142857143
452092,2015,2,2.5
452093,2015,2,2.625
452094,2015,2,3.285714286
452095,2015,2,3.666666667
452096,2015,2,3.428571429
452097,2015,2,NA
452098,2015,2,2.125
452099,2015,2,3.375
452100,2015,2,2.166666667
452102,2015,2,2
452103,2015,2,2.75
452104,2015,2,3.125
452105,2015,2,3.142857143
452106,2015,2,3.625
452107,2015,2,NA
453001,2015,2,2.75
453002,2015,2,2.571428571
453003,2015,2,3.571428571
453004,2015,2,3.25
453005,2015,2,NA
453007,2015,2,2
453008,2015,2,NA
453009,2015,2,3.625
453010,2015,2,3.375
453011,2015,2,3.625
453012,2015,2,NA
453013,2015,2,2.571428571
453014,2015,2,2.75
453015,2015,2,NA
453016,2015,2,NA
453017,2015,2,2.125
453018,2015,2,2.5
453020,2015,2,3
453022,2015,2,NA
453023,2015,2,2.875
453024,2015,2,2.5
453025,2015,2,NA
453026,2015,2,2.25
453027,2015,2,2.375
453028,2015,2,2.142857143
453029,2015,2,3.285714286
453030,2015,2,2
453031,2015,2,2.571428571
453032,2015,2,NA
453033,2015,2,NA
453034,2015,2,NA
453035,2015,2,NA
453037,2015,2,NA
453038,2015,2,1.625
453039,2015,2,2.625
453040,2015,2,3.375
453042,2015,2,NA
453043,2015,2,NA
453044,2015,2,2.714285714
453045,2015,2,NA
453046,2015,2,2.833333333
453047,2015,2,2
453048,2015,2,2.571428571
453049,2015,2,2.857142857
453050,2015,2,2.625
453052,2015,2,2.375
453053,2015,2,NA
453054,2015,2,2.125
453056,2015,2,1.714285714
453057,2015,2,1.875
453058,2015,2,2.25
453059,2015,2,NA
453060,2015,2,3.875
453061,2015,2,4.285714286
453062,2015,2,3
453063,2015,2,1.857142857
453064,2015,2,2.125
453065,2015,2,2.25
453067,2015,2,2
453068,2015,2,NA
453069,2015,2,2.5
453070,2015,2,NA
453071,2015,2,1.875
453072,2015,2,NA
453073,2015,2,2.428571429
453074,2015,2,NA
453075,2015,2,2.875
453076,2015,2,2.666666667
453077,2015,2,3
453078,2015,2,NA
453079,2015,2,2.125
453080,2015,2,2.285714286
453082,2015,2,NA
453083,2015,2,NA
453084,2015,2,2.625
453085,2015,2,NA
453086,2015,2,2.75
453087,2015,2,2
453088,2015,2,2.25
453089,2015,2,2.5
453090,2015,2,3.428571429
453091,2015,2,NA
453092,2015,2,2
453093,2015,2,2.428571429
453094,2015,2,3.25
453095,2015,2,NA
453097,2015,2,3
453098,2015,2,3.375
453099,2015,2,2.125
453100,2015,2,2.333333333
453106,2015,2,3.125
453107,2015,2,NA
453108,2015,2,2
453109,2015,2,3
453110,2015,2,3.25
454002,2015,2,2.375
454003,2015,2,2.75
454004,2015,2,3.25
454005,2015,2,2.375
454006,2015,2,3.25
454007,2015,2,3.375
454008,2015,2,2.375
454009,2015,2,3
454010,2015,2,2.375
454011,2015,2,2.666666667
454012,2015,2,2.5
454013,2015,2,2.75
454015,2015,2,1.857142857
454017,2015,2,2.875
454018,2015,2,2.5
454019,2015,2,3.125
454021,2015,2,2
454022,2015,2,2.875
454023,2015,2,2.25
454024,2015,2,1.5
454025,2015,2,2
454026,2015,2,NA
454027,2015,2,2.125
454028,2015,2,2.5
454029,2015,2,2
454030,2015,2,2.625
454032,2015,2,1.875
454033,2015,2,3.571428571
454034,2015,2,3.375
452001,2015,3,NA
452002,2015,3,2
452003,2015,3,1.714285714
452004,2015,3,NA
452005,2015,3,2.125
452006,2015,3,2
452007,2015,3,3
452008,2015,3,2.428571429
452009,2015,3,2.5
452010,2015,3,3.571428571
452012,2015,3,2.625
452013,2015,3,2.428571429
452014,2015,3,NA
452015,2015,3,2.285714286
452016,2015,3,3.142857143
452017,2015,3,2
452018,2015,3,2.125
452019,2015,3,NA
452020,2015,3,NA
452021,2015,3,2.375
452022,2015,3,2
452023,2015,3,NA
452024,2015,3,NA
452027,2015,3,3.125
452028,2015,3,1.5
452029,2015,3,NA
452030,2015,3,1.625
452031,2015,3,2.375
452032,2015,3,2
452033,2015,3,1.875
452034,2015,3,2.875
452035,2015,3,2.875
452036,2015,3,3
452037,2015,3,3.142857143
452038,2015,3,1.714285714
452039,2015,3,NA
452040,2015,3,2.125
452042,2015,3,2.5
452043,2015,3,2.375
452044,2015,3,2
452045,2015,3,NA
452046,2015,3,3.142857143
452047,2015,3,2.125
452048,2015,3,2.25
452049,2015,3,NA
452050,2015,3,2.125
452051,2015,3,2.333333333
452058,2015,3,NA
452059,2015,3,2
452060,2015,3,NA
452061,2015,3,3.75
452062,2015,3,2.285714286
452063,2015,3,2
452065,2015,3,2.285714286
452067,2015,3,2
452068,2015,3,2.714285714
452069,2015,3,2
452070,2015,3,NA
452072,2015,3,NA
452073,2015,3,NA
452074,2015,3,NA
452075,2015,3,1.857142857
452076,2015,3,1.875
452077,2015,3,2.4
452079,2015,3,NA
452080,2015,3,2.428571429
452081,2015,3,1.875
452082,2015,3,2.285714286
452083,2015,3,3.428571429
452084,2015,3,3.75
452085,2015,3,1.857142857
452087,2015,3,NA
452088,2015,3,NA
452089,2015,3,NA
452091,2015,3,1.5
452092,2015,3,2.125
452093,2015,3,2.142857143
452094,2015,3,2.428571429
452095,2015,3,2.625
452096,2015,3,2.5
452097,2015,3,NA
452098,2015,3,1.75
452099,2015,3,2.125
452100,2015,3,2
452102,2015,3,1.875
452103,2015,3,1.875
452104,2015,3,2
452105,2015,3,2.5
452106,2015,3,2.875
452107,2015,3,NA
453001,2015,3,1.714285714
453002,2015,3,2.5
453003,2015,3,2.285714286
453004,2015,3,1.714285714
453005,2015,3,NA
453007,2015,3,1.75
453008,2015,3,NA
453009,2015,3,2.125
453010,2015,3,2.571428571
453011,2015,3,2
453012,2015,3,NA
453013,2015,3,1.875
453014,2015,3,2.5
453015,2015,3,NA
453016,2015,3,NA
453017,2015,3,1.666666667
453018,2015,3,1.6
453020,2015,3,2.571428571
453022,2015,3,NA
453023,2015,3,1.875
453024,2015,3,1.75
453025,2015,3,NA
453026,2015,3,2.875
453027,2015,3,1.875
453028,2015,3,2.571428571
453029,2015,3,2.5
453030,2015,3,1.571428571
453031,2015,3,2
453032,2015,3,NA
453033,2015,3,NA
453034,2015,3,NA
453035,2015,3,NA
453037,2015,3,NA
453038,2015,3,1.25
453039,2015,3,2
453040,2015,3,2.142857143
453042,2015,3,NA
453043,2015,3,NA
453044,2015,3,2.5
453045,2015,3,NA
453046,2015,3,2
453047,2015,3,2
453048,2015,3,1.75
453049,2015,3,2.125
453050,2015,3,2.166666667
453052,2015,3,1.75
453053,2015,3,NA
453054,2015,3,1.875
453056,2015,3,1.75
453057,2015,3,2
453058,2015,3,1.714285714
453059,2015,3,2
453060,2015,3,2.625
453061,2015,3,2.75
453062,2015,3,2.625
453063,2015,3,1.75
453064,2015,3,2.125
453065,2015,3,1.714285714
453067,2015,3,1.571428571
453068,2015,3,NA
453069,2015,3,2.285714286
453070,2015,3,NA
453071,2015,3,1.714285714
453072,2015,3,NA
453073,2015,3,1.857142857
453074,2015,3,NA
453075,2015,3,3.125
453076,2015,3,2.625
453077,2015,3,2.375
453078,2015,3,NA
453079,2015,3,2.25
453080,2015,3,1.75
453082,2015,3,NA
453083,2015,3,NA
453084,2015,3,2.5
453085,2015,3,NA
453086,2015,3,2.571428571
453087,2015,3,2
453088,2015,3,2.625
453089,2015,3,2
453090,2015,3,3.571428571
453091,2015,3,NA
453092,2015,3,2.285714286
453093,2015,3,1.857142857
453094,2015,3,3.25
453095,2015,3,NA
453097,2015,3,2.5
453098,2015,3,2
453099,2015,3,2
453100,2015,3,1.875
453106,2015,3,2.714285714
453107,2015,3,NA
453108,2015,3,2.5
453109,2015,3,3.125
453110,2015,3,2.666666667
454002,2015,3,2.333333333
454003,2015,3,2.666666667
454004,2015,3,2.857142857
454005,2015,3,2
454006,2015,3,2.375
454007,2015,3,2.5
454008,2015,3,2.625
454009,2015,3,2.714285714
454010,2015,3,2.625
454011,2015,3,2.857142857
454012,2015,3,3.285714286
454013,2015,3,3
454015,2015,3,2.142857143
454017,2015,3,2.375
454018,2015,3,2.125
454019,2015,3,2.25
454021,2015,3,2
454022,2015,3,3.125
454023,2015,3,1.857142857
454024,2015,3,2
454025,2015,3,2.142857143
454026,2015,3,NA
454027,2015,3,2
454028,2015,3,2.25
454029,2015,3,1.833333333
454030,2015,3,2.5
454032,2015,3,1.8
454033,2015,3,2.625
454034,2015,3,2.75
452001,2016,1,2
452002,2016,1,NA
452003,2016,1,2
452004,2016,1,NA
452005,2016,1,1.75
452006,2016,1,2.375
452007,2016,1,2.142857143
452008,2016,1,1.75
452009,2016,1,1.875
452010,2016,1,2.125
452012,2016,1,1.857142857
452013,2016,1,1.5
452014,2016,1,NA
452015,2016,1,1.625
452016,2016,1,2.125
452017,2016,1,NA
452018,2016,1,1.625
452019,2016,1,NA
452020,2016,1,NA
452021,2016,1,2
452022,2016,1,1.875
452023,2016,1,NA
452024,2016,1,NA
452027,2016,1,4
452028,2016,1,2.142857143
452029,2016,1,NA
452030,2016,1,1
452031,2016,1,1.571428571
452032,2016,1,1.75
452033,2016,1,1.428571429
452034,2016,1,2
452035,2016,1,2.5
452036,2016,1,1.5
452037,2016,1,2.857142857
452038,2016,1,1.125
452039,2016,1,NA
452040,2016,1,1.714285714
452042,2016,1,2.125
452043,2016,1,2
452044,2016,1,3
452045,2016,1,NA
452046,2016,1,1.375
452047,2016,1,1.833333333
452048,2016,1,1.714285714
452049,2016,1,NA
452050,2016,1,2
452051,2016,1,1.75
452058,2016,1,NA
452059,2016,1,2.125
452060,2016,1,NA
452061,2016,1,2.571428571
452062,2016,1,1.857142857
452063,2016,1,1.5
452065,2016,1,1.571428571
452067,2016,1,2
452068,2016,1,1.571428571
452069,2016,1,1.875
452070,2016,1,NA
452072,2016,1,NA
452073,2016,1,NA
452074,2016,1,NA
452075,2016,1,1.75
452076,2016,1,2.125
452077,2016,1,1.428571429
452079,2016,1,1.875
452080,2016,1,1.375
452081,2016,1,2
452082,2016,1,2.125
452083,2016,1,2.666666667
452084,2016,1,1.625
452085,2016,1,1.714285714
452087,2016,1,NA
452088,2016,1,NA
452089,2016,1,NA
452091,2016,1,1.375
452092,2016,1,1.8
452093,2016,1,NA
452094,2016,1,1.625
452095,2016,1,2
452096,2016,1,1.875
452097,2016,1,NA
452098,2016,1,1.625
452099,2016,1,1.714285714
452100,2016,1,1.714285714
452102,2016,1,1.25
452103,2016,1,1.714285714
452104,2016,1,2.142857143
452105,2016,1,1.5
452106,2016,1,1.833333333
452107,2016,1,NA
453001,2016,1,1.857142857
453002,2016,1,1.75
453003,2016,1,1.5
453004,2016,1,2.857142857
453005,2016,1,NA
453007,2016,1,1.285714286
453008,2016,1,NA
453009,2016,1,2.25
453010,2016,1,1.4
453011,2016,1,1.571428571
453012,2016,1,NA
453013,2016,1,1.5
453014,2016,1,1.25
453015,2016,1,NA
453016,2016,1,NA
453017,2016,1,1.166666667
453018,2016,1,1.285714286
453020,2016,1,NA
453022,2016,1,NA
453023,2016,1,2
453024,2016,1,1.875
453025,2016,1,NA
453026,2016,1,1.875
453027,2016,1,1.875
453028,2016,1,2
453029,2016,1,2
453030,2016,1,NA
453031,2016,1,1.333333333
453032,2016,1,NA
453033,2016,1,NA
453034,2016,1,NA
453035,2016,1,NA
453037,2016,1,NA
453038,2016,1,1.571428571
453039,2016,1,1.75
453040,2016,1,2
453042,2016,1,NA
453043,2016,1,NA
453044,2016,1,2
453045,2016,1,NA
453046,2016,1,1.166666667
453047,2016,1,2.428571429
453048,2016,1,1.625
453049,2016,1,1.875
453050,2016,1,2.125
453052,2016,1,1.375
453053,2016,1,NA
453054,2016,1,1.625
453056,2016,1,1.625
453057,2016,1,1.666666667
453058,2016,1,1.25
453059,2016,1,1.875
453060,2016,1,2.142857143
453061,2016,1,2.5
453062,2016,1,2
453063,2016,1,1.5
453064,2016,1,1.857142857
453065,2016,1,1.375
453067,2016,1,1.75
453068,2016,1,NA
453069,2016,1,1.571428571
453070,2016,1,NA
453071,2016,1,1.125
453072,2016,1,NA
453073,2016,1,2
453074,2016,1,NA
453075,2016,1,2.857142857
453076,2016,1,1.714285714
453077,2016,1,1.571428571
453078,2016,1,NA
453079,2016,1,1.875
453080,2016,1,1.875
453082,2016,1,NA
453083,2016,1,NA
453084,2016,1,2.166666667
453085,2016,1,NA
453086,2016,1,2
453087,2016,1,1.875
453088,2016,1,1.75
453089,2016,1,NA
453090,2016,1,2.25
453091,2016,1,NA
453092,2016,1,NA
453093,2016,1,1.375
453094,2016,1,2
453095,2016,1,NA
453097,2016,1,2.25
453098,2016,1,2.125
453099,2016,1,1.875
453100,2016,1,1.875
453106,2016,1,2
453107,2016,1,NA
453108,2016,1,1.625
453109,2016,1,1.625
453110,2016,1,1.875
454002,2016,1,1.875
454003,2016,1,1.875
454004,2016,1,2.285714286
454005,2016,1,2
454006,2016,1,1.625
454007,2016,1,2.25
454008,2016,1,2
454009,2016,1,2
454010,2016,1,1.571428571
454011,2016,1,2
454012,2016,1,1.625
454013,2016,1,1.875
454015,2016,1,1.75
454017,2016,1,2.25
454018,2016,1,2
454019,2016,1,2.714285714
454021,2016,1,2
454022,2016,1,2
454023,2016,1,1.375
454024,2016,1,1.285714286
454025,2016,1,1.875
454026,2016,1,NA
454027,2016,1,1.75
454028,2016,1,2
454029,2016,1,1.857142857
454030,2016,1,1.625
454032,2016,1,1.75
454033,2016,1,NA
454034,2016,1,2.625
452001,2016,2,1.714285714
452002,2016,2,NA
452003,2016,2,2.857142857
452004,2016,2,NA
452005,2016,2,1.875
452006,2016,2,2.428571429
452007,2016,2,1.857142857
452008,2016,2,1.571428571
452009,2016,2,1.875
452010,2016,2,2
452012,2016,2,2
452013,2016,2,2
452014,2016,2,NA
452015,2016,2,1.571428571
452016,2016,2,3.285714286
452017,2016,2,NA
452018,2016,2,2
452019,2016,2,NA
452020,2016,2,NA
452021,2016,2,2
452022,2016,2,1.833333333
452023,2016,2,NA
452024,2016,2,NA
452027,2016,2,2.428571429
452028,2016,2,2
452029,2016,2,NA
452030,2016,2,3.428571429
452031,2016,2,1.833333333
452032,2016,2,2.333333333
452033,2016,2,2.142857143
452034,2016,2,3.285714286
452035,2016,2,3
452036,2016,2,2.875
452037,2016,2,2.75
452038,2016,2,1.571428571
452039,2016,2,NA
452040,2016,2,2.285714286
452042,2016,2,2.625
452043,2016,2,1.625
452044,2016,2,2
452045,2016,2,NA
452046,2016,2,3.625
452047,2016,2,2
452048,2016,2,1.285714286
452049,2016,2,NA
452050,2016,2,2.142857143
452051,2016,2,2.125
452058,2016,2,NA
452059,2016,2,2
452060,2016,2,NA
452061,2016,2,2.375
452062,2016,2,1.75
452063,2016,2,1.8
452065,2016,2,2.428571429
452067,2016,2,2.142857143
452068,2016,2,1.285714286
452069,2016,2,2.25
452070,2016,2,NA
452072,2016,2,NA
452073,2016,2,NA
452074,2016,2,NA
452075,2016,2,2.428571429
452076,2016,2,2.25
452077,2016,2,1.857142857
452079,2016,2,2.375
452080,2016,2,1.333333333
452081,2016,2,2
452082,2016,2,2
452083,2016,2,2
452084,2016,2,1.833333333
452085,2016,2,1.857142857
452087,2016,2,NA
452088,2016,2,NA
452089,2016,2,NA
452091,2016,2,2.5
452092,2016,2,NA
452093,2016,2,NA
452094,2016,2,2.5
452095,2016,2,2.285714286
452096,2016,2,2
452097,2016,2,NA
452098,2016,2,2
452099,2016,2,2.142857143
452100,2016,2,2.125
452102,2016,2,1.8
452103,2016,2,2
452104,2016,2,2.125
452105,2016,2,2.125
452106,2016,2,1.428571429
452107,2016,2,NA
453001,2016,2,3.5
453002,2016,2,2
453003,2016,2,1.571428571
453004,2016,2,2.857142857
453005,2016,2,NA
453007,2016,2,1.666666667
453008,2016,2,NA
453009,2016,2,2.5
453010,2016,2,2.5
453011,2016,2,2.571428571
453012,2016,2,NA
453013,2016,2,3.285714286
453014,2016,2,2.25
453015,2016,2,NA
453016,2016,2,NA
453017,2016,2,2.25
453018,2016,2,2.142857143
453020,2016,2,NA
453022,2016,2,NA
453023,2016,2,2.25
453024,2016,2,1.5
453025,2016,2,NA
453026,2016,2,2.125
453027,2016,2,2.625
453028,2016,2,2.142857143
453029,2016,2,2
453030,2016,2,NA
453031,2016,2,1.857142857
453032,2016,2,NA
453033,2016,2,NA
453034,2016,2,NA
453035,2016,2,NA
453037,2016,2,NA
453038,2016,2,2
453039,2016,2,2.285714286
453040,2016,2,2
453042,2016,2,NA
453043,2016,2,NA
453044,2016,2,2.333333333
453045,2016,2,NA
453046,2016,2,1.4
453047,2016,2,2.25
453048,2016,2,1.75
453049,2016,2,2.5
453050,2016,2,2.428571429
453052,2016,2,2.25
453053,2016,2,NA
453054,2016,2,1.75
453056,2016,2,1.571428571
453057,2016,2,1.875
453058,2016,2,1.857142857
453059,2016,2,1.857142857
453060,2016,2,3.25
453061,2016,2,3.5
453062,2016,2,2
453063,2016,2,2
453064,2016,2,2
453065,2016,2,2.428571429
453067,2016,2,2.25
453068,2016,2,NA
453069,2016,2,2.25
453070,2016,2,NA
453071,2016,2,1.5
453072,2016,2,NA
453073,2016,2,2.375
453074,2016,2,NA
453075,2016,2,2.571428571
453076,2016,2,3.333333333
453077,2016,2,2
453078,2016,2,NA
453079,2016,2,2.428571429
453080,2016,2,1.857142857
453082,2016,2,NA
453083,2016,2,NA
453084,2016,2,2.833333333
453085,2016,2,NA
453086,2016,2,2.875
453087,2016,2,2.428571429
453088,2016,2,2.25
453089,2016,2,NA
453090,2016,2,4
453091,2016,2,NA
453092,2016,2,NA
453093,2016,2,1
453094,2016,2,2.333333333
453095,2016,2,NA
453097,2016,2,1.875
453098,2016,2,2.142857143
453099,2016,2,2.25
453100,2016,2,2
453106,2016,2,2.625
453107,2016,2,NA
453108,2016,2,1.75
453109,2016,2,3
453110,2016,2,2.375
454002,2016,2,2.142857143
454003,2016,2,3.714285714
454004,2016,2,2.125
454005,2016,2,2.571428571
454006,2016,2,3.142857143
454007,2016,2,4.125
454008,2016,2,2.375
454009,2016,2,2
454010,2016,2,1.75
454011,2016,2,2.375
454012,2016,2,2.125
454013,2016,2,2
454015,2016,2,3
454017,2016,2,3.875
454018,2016,2,2.285714286
454019,2016,2,3.375
454021,2016,2,3.142857143
454022,2016,2,2.875
454023,2016,2,2.5
454024,2016,2,2.142857143
454025,2016,2,2.142857143
454026,2016,2,NA
454027,2016,2,2
454028,2016,2,2.5
454029,2016,2,2.5
454030,2016,2,2.571428571
454032,2016,2,2.4
454033,2016,2,NA
454034,2016,2,2.75
